order_book_id,industry_code,market_tplus,symbol,special_type,exchange,status,type,de_listed_date,listed_date,sector_code_name,abbrev_symbol,sector_code,round_lot,trading_hours,board_type,industry_name,issue_price,trading_code,office_address,province,purchasedate
603979.XSHG,B11,1,金诚信,Normal,XSHG,Active,CS,0000-00-00,2015-06-30,工业,JCX,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,开采辅助活动,17.19,603979,北京市丰台区育仁南路3号院3号楼,北京市,
603980.XSHG,C26,1,吉华集团,Normal,XSHG,Active,CS,0000-00-00,2017-06-15,原材料,JHJT,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,17.2,603980,杭州市萧山区临江工业园新世纪大道1766号,浙江省,
603982.XSHG,C36,1,泉峰汽车,Normal,XSHG,Active,CS,0000-00-00,2019-05-22,非必须消费品,QFQC,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,汽车制造业,9.79,603982,南京市江宁区秣陵街道将军大道159号(江宁开发区),江苏省,
603983.XSHG,C26,1,丸美生物,Normal,XSHG,Active,CS,0000-00-00,2019-07-25,必需消费品,WMSW,ConsumerStaples,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,20.54,603983,广州天河区珠江新城冼村路11号保利威座大厦南塔6楼,广东省,
603985.XSHG,C33,1,恒润股份,Normal,XSHG,Active,CS,0000-00-00,2017-05-05,工业,HRGF,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,金属制品业,26.97,603985,江阴市周庄镇欧洲工业园A区,江苏省,
603986.XSHG,C39,1,兆易创新,Normal,XSHG,Active,CS,0000-00-00,2016-08-18,信息技术,ZYCX,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,23.26,603986,北京市海淀区丰豪东路9号院中关村集成电路设计园8号楼,北京市,
603987.XSHG,C35,1,康德莱,Normal,XSHG,Active,CS,0000-00-00,2016-11-21,医疗保健,KDL,HealthCare,100.0,"09:31-11:30,13:01-15:00",MainBoard,专用设备制造业,9.5,603987,上海市嘉定区高潮路658号,上海市,
603988.XSHG,C38,1,中电电机,Normal,XSHG,Active,CS,0000-00-00,2014-11-04,工业,ZDDJ,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,电气机械和器材制造业,14.88,603988,江苏省无锡市高浪东路777号,江苏省,
603989.XSHG,C39,1,艾华集团,Normal,XSHG,Active,CS,0000-00-00,2015-05-15,信息技术,AHJT,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,20.74,603989,益阳市桃花仑东路龙岭工业园,湖南省,
603990.XSHG,I65,1,麦迪科技,Normal,XSHG,Active,CS,0000-00-00,2016-12-08,医疗保健,MDKJ,HealthCare,100.0,"09:31-11:30,13:01-15:00",MainBoard,软件和信息技术服务业,9.69,603990,苏州工业园区归家巷222号,江苏省,
603991.XSHG,C29,1,至正股份,Normal,XSHG,Active,CS,0000-00-00,2017-03-08,原材料,ZZGF,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,橡胶和塑料制品业,10.61,603991,上海市闵行区莘庄工业区北横沙河路268号,广东省,
603992.XSHG,C29,1,松霖科技,Normal,XSHG,Active,CS,0000-00-00,2019-08-26,非必须消费品,SLKJ,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,橡胶和塑料制品业,13.54,603992,厦门市海沧区阳光西路298号,福建省,
603993.XSHG,B09,1,洛阳钼业,Normal,XSHG,Active,CS,0000-00-00,2012-10-09,原材料,LYMY,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,有色金属矿采选业,3.0,603993,河南省洛阳市栾川县城东新区画眉山路伊河以北,河南省,
603995.XSHG,C31,1,甬金股份,Normal,XSHG,Active,CS,0000-00-00,2019-12-24,原材料,YJGF,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,黑色金属冶炼和压延加工业,22.52,603995,浙江省兰溪市灵洞乡耕头畈999号,浙江省,
603996.XSHG,Unknown,1,退市中新,Other,XSHG,Delisted,CS,2022-05-24,2015-12-22,未知,TSZX,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,10.52,603996,浙江省台州市椒江区工人西路618-2号,浙江省,
603997.XSHG,C36,1,继峰股份,Normal,XSHG,Active,CS,0000-00-00,2015-03-02,非必须消费品,JFGF,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,汽车制造业,7.97,603997,浙江省宁波市北仑区大碶璎珞河路17号,浙江省,
603998.XSHG,C27,1,方盛制药,Normal,XSHG,Active,CS,0000-00-00,2014-12-05,医疗保健,FSZY,HealthCare,100.0,"09:31-11:30,13:01-15:00",MainBoard,医药制造业,14.85,603998,长沙市国家高新技术产业开发区嘉运路299号,湖南省,
